gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn,MonthlyCharges_Category,TotalPaid,has_streaming,has_protection
0,0,1,0,0.013888888888888888,0,0,0,0,1,0,0,0,0,0,1,2,0.11542288557213931,0.001275098084468036,0,0,0.003491228070175439,0,1
1,0,0,0,0.4722222222222222,1,0,0,1,0,1,0,0,0,1,0,3,0.3850746268656716,0.21586660512347106,0,1,0.22646783625730998,0,1
1,0,0,0,0.027777777777777776,1,0,0,1,1,0,0,0,0,0,1,3,0.35422885572139307,0.010310408492960998,1,1,0.012596491228070177,0,1
1,0,0,0,0.625,0,0,0,1,0,1,1,0,0,1,0,0,0.23930348258706463,0.21024117239787676,0,1,0.2226315789473684,0,1
0,0,0,0,0.027777777777777776,1,0,1,0,0,0,0,0,0,0,1,2,0.5218905472636816,0.015330025386568198,1,2,0.016538011695906435,0,0
0,0,0,0,0.1111111111111111,1,1,1,0,0,1,0,1,1,0,1,2,0.8099502487562189,0.09251096238172168,1,2,0.09323976608187136,1,1
1,0,0,1,0.3055555555555555,1,1,1,0,1,0,0,1,0,0,1,1,0.7049751243781094,0.22277867528271408,0,2,0.22926315789473684,1,1
0,0,0,0,0.1388888888888889,0,0,0,1,0,0,0,0,0,0,0,3,0.11442786069651739,0.032667897530579276,0,0,0.0347953216374269,0,1
0,0,1,0,0.38888888888888884,1,1,1,0,0,1,1,1,1,0,1,2,0.8611940298507462,0.3493249480729287,1,2,0.3432046783625731,1,1
1,0,0,1,0.861111111111111,1,0,0,1,1,0,0,0,0,1,0,0,0.3771144278606965,0.4003173321024694,0,1,0.40716959064327485,0,1
1,0,1,1,0.18055555555555555,1,0,0,1,0,0,0,0,0,0,1,3,0.3154228855721393,0.06561850911608587,0,1,0.07594736842105264,0,1
1,0,0,0,0.2222222222222222,1,0,2,0,0,0,0,0,0,2,0,1,0.006965174129353213,0.035541195476575124,0,0,0.03546198830409357,0,0
1,0,1,0,0.8055555555555555,1,1,1,0,0,1,0,1,1,1,0,1,0.8169154228855721,0.6533925686591276,0,2,0.6807368421052631,1,1
1,0,0,0,0.6805555555555555,1,1,1,0,1,1,0,1,1,0,1,0,0.8502487562189055,0.578986845141934,1,2,0.5943040935672516,1,1
1,0,0,0,0.3472222222222222,1,0,1,1,0,1,1,1,1,0,1,2,0.8681592039800995,0.30778329102238633,0,2,0.3084795321637427,1,1
0,0,1,1,0.9583333333333333,1,1,1,1,1,1,1,1,1,2,0,1,0.945273631840796,0.9088795291945534,0,2,0.9139473684210526,1,1
0,0,0,0,0.7222222222222222,1,0,2,0,0,0,0,0,0,1,0,3,0.023880597014925342,0.11587237479806141,0,0,0.1255906432748538,0,0
1,0,0,1,0.986111111111111,1,1,1,1,0,1,0,1,1,2,0,0,0.8800995024875623,0.8496942072467113,0,2,0.886046783625731,1,1
0,0,1,1,0.1388888888888889,1,0,0,0,0,1,1,0,0,0,0,1,0.36766169154228856,0.05879875375028849,1,1,0.06456140350877193,0,1
0,0,0,0,0.29166666666666663,1,0,1,0,1,1,0,0,1,0,1,2,0.7144278606965173,0.2127971382414032,0,2,0.22117543859649122,1,1
1,1,0,0,0.013888888888888888,0,0,0,0,0,1,0,0,1,0,1,2,0.21293532338308457,0.0024059543041772442,1,1,0.004637426900584795,1,1
1,0,1,0,0.16666666666666666,1,0,2,0,0,0,0,0,0,1,0,0,0.015422885572139305,0.02116893607200554,0,0,0.02778947368421053,0,0
1,0,0,0,0.013888888888888888,1,0,2,0,0,0,0,0,0,0,0,3,0.018905472636815884,0.00015578121393953342,1,0,0.0023567251461988304,0,0
0,0,1,0,0.8055555555555555,1,1,0,0,1,0,1,0,0,2,1,1,0.4144278606965174,0.4022963304869605,0,1,0.4063391812865497,0,1
1,0,1,1,0.6805555555555555,1,0,0,1,1,0,1,0,0,0,0,1,0.4114427860696518,0.34058389106854375,0,1,0.34156725146198835,0,1
